Party,Name,OfficialName,Type,Status,Seasonality,SiteName,Latitude,Longitude,MaxPopulation,Capacity,Remarks,DateEstablished,AccommodationCapacity,MedicalFacilities,OperatingPeriodFrom,OperatingPeriodTo,UrlLink
Ecuador,Pedro Vicente Maldonado,Pedro Vicente Maldonado Station,Station,Open,Seasonal,Pedro Vicente Maldonado,-62.449167,-59.740833,,35,La Estación Maldonado es un centro destinado a la Investigación antártica creada para promover en los ecuatorianos la investigación en  ciencia polar  así como la cooperación  y para impulsar la participación del Ecuador en el Sistema del Tratado Antártico.    La Estación Maldonado está conformado por cinco módulos  el módulo de habitabilidad construido en 1990 durante la II expedición ecuatoriana  el segundo y tercer módulo (de servicios y generadores) instalados en 1998 durante la VII expedición  el módulo de laboratorios construido en el 2010 en la XV expedición ecuatoriana y el módulo de mando y control contruido en el 2020  en la XX Expedición.    El módulo de laboratorios posee equipamiento moderno  utilizado por los investigadores para conservación y análisis de muestras. Fue inaugurado en el 2011 por el Presidente de Ecuador en una visita realizada a la Estación Maldonado junto a su homólogo de Chile.    En el 2016 (XX Campaña Antártica)  se inició la construcción de la Casa de Botes (bases y estructura metálica)  e inaugurada posteriormente  esta instalación cuenta con 198 m2 de construcción. En la parte ambiental se realiza actividades para la aplicación de las directrices del Plan de Manejo Ambiental aprobado por el Ministerio del Ambiente del Ecuador. ,1990,La estación fue inaugurada el 2 de marzo de 1990  cuenta con un área de construcción de habitabilidad de 180 m2 aproximadamente donde se encuentran distribuidos 12 camarotes  4 camarotes individuales para oficiales jefes de expedición  7 para varones  y uno para mujeres. El Camarote para damas cuenta con baño exclusivo así como el de los jefes oficiales  y el de los varones dos baños generales . Todas las habitaciones cuentan con camas literas (excepto las habitaciones de los jefes oficiales que,Se dispone de una enfermería con un área de construcción de 15.19 m2  con capacidad de una cama  equipada para labores de primeros auxilios cirugías menores  hipotermia  trauma   y un médico permanente durante la expedición. Carece de Concentrador de Oxígeno.,November,March,www.inocar.mil.ec 
Ecuador,República del Ecuador,Refugio República del Ecuador,Refuge,Open,Seasonal,República del Ecuador,-62.12099,-58.395161,,4,Es un contenedor de 20 pies que dispone de suministros médicos básicos  alimentos no perecibles y dos literas.,1990,El refugio es una instalación para ser ocupada temporalmente en situaciones de riesgos o peligros  para una permanencia de unas pocas horas o unos pocos días. Carece de baño.,Ninguna,January,December,www.inocar.mil.ec
Finland,Aboa,Aboa Station,Station,Open,Seasonal,Aboa,-73.042282,-13.407358,16,,,1988,Available accomodation 16 persons,Medical container with field hospital eq. Medical personnel may be present in operative seasons.,November,February,
France,Cap Prudhomme,,Station,Open,Seasonal,Robert Guillard,-66.687608,139.90717,20,,This seasonal station on the Antarctic continent is operated jointly by France and Italy. It is the starting point of the ground traverses for the transport of cargo and fuel to the inland station Concordia,,10 people in summer season only (November to February),No medical facilities on site but 1 hospital and 1 physician at Dumont d'Urville Station  5 km away  with helicopter support ,November,February,
France,Concordia,Concordia Station,Station,Open,Year-Round,Concordia,-75.099975,123.332605,70,,This inland station is jointly operated by France and Italy,1997,13-14 people in winter    50-70 in summer,Full-equipped infirmery with operating theatre  radiography  pathology laboratory  dentistery  pharmacy    2 physicians,---,---,
France,Dumont d'Urville,Dumont d'Urville Station,Station,Open,Year-Round,Dumont d'Urville,-66.662833,140.001333,100,,,1956,26 people in winter,Full-equipped infirmery with operating theatre  radiography  pathology laboratory  dentistery  pharmacy    1 physician,---,---,
France,Robert Guillard,Robert Guillard,Station,Open,Seasonal,Robert Guillard,-66.687608,139.90717,16,,,1994,,,October,December,
France,D85 Skiway camp,D85 Skiway camp,Airfield Camp,Open,Seasonal,D85 Skiway camp,-70.425,134.145833,,,,,,,---,---,
Germany,Closed Facilities: Lillie Marleen Hut,,Station,Open,Seasonal,Lillie Marleen Hut,-71.2,164.516666,,,- opened 14 January 1980    - currently closed    - responsibility BGR,,,,October,March,
Germany,Closed Facilities: Neumayer Station II,,Station,Open,Year-Round,Ekström Ice Shelf; Neumayer Station II,-70.65,-8.25,60,,- Closed 28 February 2009    - Replaced by Neumayer Station III  a station on a platform above the snow surface,1992,- steel tube system with two main tubes (Eastern: 82 m  Western: 92 m) 92m long cross tube  tube diameter between 8 and 8.4 m       - total aerea 3420 sqm    - 56 containerised modules (sleeping rooms  laboratories  mess  social rooms  kitchen  snowmelter  power plant with diesel generators  emergency generator  air condition and ventilation control system  workshop  warehouse and other technical facilities),,---,---,http://www.awi.de/en/infrastructure/stations/neumayer_station/
Germany,German Antarctic Receiving Station (GARS),German Antarctic Receiving Station (GARS),Station,Open,Year-Round,German Antarctic Receiving Station (GARS),-63.321092,-57.90094,14,,The station is operated as an annex station to the General Bernardo O’Higgins station (Chile). The location was selected because of its excellent conditions regarding infrastructure  bedrock foundation  and access. The station is in operation throughout the year for data acquisition campaigns. The focus is on Antarctic summertime  when it is possible to obtain ground measurements for reference purposes  as well as to exchange personnel and magnetic tape data carriers  and bring in supplies and replacement parts. Transportation and logistics are coordinated with the Chilean Antarctic Programme using ships and aircraft.,1991,- 31 modules (workspace  generatorroom and livingroom)    - 5 modules used as sleeping room    - 1 sanitary module (shower  toilet  bath)    - 2 kitchen modules (kitchen and sitting space)    - The station runs a separate power station     - Permanent data satellite link (256 kBit/s) with a fixed 2.4 m offset antenna dish for telephone and Internet connection.,none  provided by at O’Higgins Station,October,March,www.antarktis-station.de
Germany,Gondwana Station,Gondwana Station,Station,Temporarily Closed,Seasonal,Gondwana Station,-74.635501,164.221215,20,,Gondwana Station is used as a logistic base for field parties. The station is operated by the Federal Institute for Geosciences and Natural Resources (BGR).     It is located on a small peninsula at Gerlache Inlet  Terra Nova Bay  Ross Sea. The station can be reached either by ship or airplane. The sea ice conditions are generally favourable for aircraft operation (including Hercules C-130) early in the season. Later in the season landings are only possible on Browning Pass west of Gondwana. In this case helicopter shuttle flights have to provide the linkage to the Gondwana Station.    The Terra Nova Bay area is one of the few ideal locations for Antarctic stations in this part of the Ross Sea. Gravel terraces on a slightly sloped terrain provide sufficient space for station buildings and helicopter landing pads. The area is free of snow early in the season and relatively sheltered against catabatic winds which are generally channelled by the Priestley Glacier and deviated towards Hells Gate. The absence of Penguin colonies in the Terra Nova Bay area is another advantage of this location.     The first station building was erected in 1983 during the GANOVEX III (German Antarctic North Victoria Land Expedition) as a bivouac hut. During GANOVEX V (1988/89) Gondwana was enlarged and upgraded from a bivouac hut to a summer station. During GANOVEX IX (2005/06) the station was restored. A new painting of the walls and a new waterproof roof membrane protect the station.,1983,The main building consists of two rows of eight 20ft-containers which are connected by a corridor to which all rooms open  i.e. workshop  food store  kitchen  mess and sanitary rooms  the radio room  a lounge and further rooms for scientific programs. In a separate building  the generators are positioned  as well as a seawater desalination plant and the biological sewage treatment. During expeditions  most of the expedition members use tents for sleeping  as the station is basically planned for ,,October,March,
Germany,Kohnen,Kohnen Station,Station,Temporarily Closed,Seasonal,Kohnen,-75.001667,0.066111,28,,The station is currently used as the logistic base for subglacial studies using the EPICA drilling hole as well as for meteorological  air chemistry and seismic observations and glaciological field investigations. The station will also provide ground service for scientific aircraft mission above the inland ice plateau.     The station is located on the inland ice plateau (Amundsenisen  Wegnerisen). The distance along the sledge traverse route to Neumayer Station III is about 750 km.    Access to the station is possible by means of sledge traverses starting from NEUMAYER STATION III at the cost or by aircraft support in the frame of Dronning Maud Land Air Network (DROMLAN). The air link is mainly used for the transport of personnel  light weighted scientific cargo and food. The advantage of this aircraft access is that it became possible to start scientific works early in the season or to carry out a short stay for maintenance and service automatic stations.     Supply of the station is mainly based on sledge traverses to transport large amount of fuel  consumables and material. To travel from NEUMAYER STATION III to KOHNEN STATION takes 11 days on average. The typical arrangement of a sledge train is 6 towing vehicles (Pistenbulli)  12 sledges carrying piece goods and containers  and 5 sledges with tank containers and accommodation facilities. On average about 180 tons of supply goods are needed to run the station. The fuel consumption is about 400 litres per one ton of payload over a distance of 1 000 km.    In the framework of the European Project for Ice Coring in Antarctica  the Kohnen Station was the logistics base for the EDML ice core. Currently 31'000 l of Jet A1 are at Kohnen Station  only in tankcontainer  no drums.,2000,The central building consists of a 32 m long and 8 m wide steel platform on 16 pillars with 11  20-feet container modules on top of it. The functions of these modules are radio room  mess room  kitchen  sanitary facilities  two sleeping rooms  snowmelter  store  workshop and power plant. Food store containers on sledges and additional sleeping modules can be parked beside the platform. Because of snow accumulation the platform has to be lifted up every second year. 4 technicians are needed to op,none. provided by Neumayer Station III,November,January,www.awi.de/en/infrastructure/stations/kohnen_station/
Germany,Neumayer III,Neumayer-Station III,Station,Open,Year-Round,Neumayer III,-70.660278,-8.283889,60,,The NEUMAYER STATION III is the permanently occupied German research station located at the Ekstrøm Ice Shelf  north-west edge of Atka Bay in Dronning Maud Land. The station is operated by the Alfred Wegener Institute for Polar and Marine Research (AWI)    The station continuously operates scientific observatories  and it is the operational base for aircraft missions and deep field traverses during summer season. The wintering staff is 1 station leader/physician  4 scientists  3 technicians  1 cook. During summer season up to 40 scientists and technicians can be accommodated. Transport of personnel and equipment is performed via the airlink from Cape Town to Antarctica established in the frame of the international cooperation Dronning Maud Land Air Network (DROMLAN). 8 to 11 intercontinetal flights are performed from November until February every summer season. Regular supply of the station is performed by ship delivering consumables  maintenance material  heavy equipment such as vehicles  sledges etc. 2 ship calls are performed every summer season.        The airfield will be open for transiting aircraft to central and eastern Dronning Maud Land. The first summer personnel will arrive beginning of November. Until then  only wintering personel will be at the Station. Winter begins: 24 February 2022 after the departure of the last summer personnel.,2009,The station building  basically a three-dimensional steel structure  comprises an underground section placed in a 76 m long and 26 m wide trench in the snow  a 6 m elevated platform surrounded by an insulated hull of 68 m length and 24 m width containing the two-storied station proper  and the 26 m long  lid covered access ramp to the garage at 8.2 m below the snow surface. Altogether there are 4 900 sqm of protected space  of which 2 100 sqm are heated. The station is set up on16 legs with bipo,Anaesthesia   Diagnostic X-Ray   Laboratory Diagnostics   Telemedicine   CoV-2 Test (Aprimeo Vivalytic PCR)  1 stationary ventilator  2 mobile ventilators  Intubation possible  including videolaryngoskope  1 oxygen concentrator 490 l compressed oxygen (200 bar)  Isolation unit (outside living module  -  not connected to the station air condition)  Hospital infrastructure  Pharmacy,October,December,http://www.awi.de/en/infrastructure/stations/neumayer_station/ 
Germany,Dallmann,Dallmann Laboratory at Carlini,Laboratory,Open,Seasonal,Dallmann,-62.237609,-58.666716,16,,The Dallmann Laboratory is located at the Argentinean Base Carlini on King George Island. It was established as an international laboratory funded by the Instituto Antartico Argentino (IAA)  The Netherlands Council of Earth and Life Sciences (NWO) and AWI in 1994. Access to and supply of the Dallmann Laboratory is coordinated in co-operation between AWI and DNA/IAA. On site support is provided by the technical staff of Carlini station. Research focussed on: marine and terrestrial biological studies  solar UV  ecophysical investigations  geological field works.,1994,About 25 to 35 scientists from Germany  Argentina and The Netherlands are working in the laboratory each season.     - one building with laboratories  workshop  store  social rooms  12 berths several container modules with aquarium and wet laboratories    - sewage treatment plant     - since 2001 new building for scuba diving    - since 2005 3 new laboratories and one new store for dangerous good ,none  provided by Base Carlini,October,March,www.awi.de/en/infrastructure/stations/dallmann_laboratory/
Germany,Georg Forster,Georg Forster,Airfield Camp,No Longer Exists,Seasonal,Georg Forster,-70.766667,11.683333,,,,1976,,,---,---,
India,Bharati,Bharati Station,Station,Open,Year-Round,Bharati,-69.4068,76.19525,47,47,Communication     IRIDIUM: 008816 77703122     E-MAIL: lead.bharati@gmail.com,2012,15 persons can be accommodated during winter and 32 persons can be accommodated during summer season,One medical doctor throughout the winter over period and two medical doctors during austral summer available at station.    Anaesthesia   Biochemistry   Oxygen concentrator    ,October,December,http://www.ncaor.gov.in
India,Dakshin Gangotri,Dakshin Gangotri Station,Station,No Longer Exists,Year-Round,Dakshin Gangotri,-70.083333,12,,,,,,,October,December,
India,Maitri,Maitri Station,Station,Open,Year-Round,Maitri,-70.766834,11.730783,25,65,Comminucation:    INMARSAT PHONE NO. 00870-641902726     INMARSAT FAX NO. 00870-641902727     MAITRI IRIDIUM-1: 008816 314 47069     MAITRI IRIDIUM-2 008816 314 47517     E-MAIL: stncdr.maitri@gmail.com     maitri@ncaor.amosconnect.com     ,1989,25 persons during winter and 40 during summer season can be accommodated at Maitri station,Two medical doctors are available during summer and winter season.    Anaesthesia   Biochemistry   Diagnostic Ultrasound   Oxygen concentrator    ,October,December,http://www.ncaor.gov.in
Italy,Concordia,Concordia Station,Station,Open,Year-Round,Concordia,-75.099975,123.332605,80,,Situated on the Antarctic Plateau at 3233 m a.s.l. It is made of two polygonal buildings (the quiet and the noisy towers) joined by a sheltered passage. The construction started in 1999  and was completed in 2004. The Station is jointly operated by France and Italy.,1997,In the quiet tower  second floor  there are 16 rooms for 16 people during the winter and 32 people during the summer.,Surgery  x rays  dentistry  laboratory  pharmacy. One physician during the winter and two physicians and one nurse during the summer.         Altitude Medicine   Anaesthesia   Biochemistry   Diagnostic Ultrasound   Diagnostic X-Ray   Hematology   Laboratory Diagnostics   Telemedicine   Ultrasound - X rays - blood analysis - PCR for COVID test,October,December,stationleader@concordiabase.aq
Italy,Mario Zucchelli,Stazione Mario Zucchelli,Station,Open,Seasonal,Mario Zucchelli,-74.694722,164.113056,130,,Situaded along the coast of the Northern Foothills  Northeast of Gerlache Inlet  Victoria Land.,1986,Main building (80 people in 20 rooms)  pilots building (18 people in 6 rooms)  transit building (32 people in 2 dormitories).,Surgery  X rays  dentistry  pharmacy. Two physicians and one nurse.        Anaesthesia   Diagnostic Ultrasound   Diagnostic X-Ray   Hyperbaric Recompression Chamber   Laboratory Diagnostics   Opthamology   Telemedicine   Surgical theatre  Traumatology  Portable field X-ray    ,October,February,direzione@mzs.pnra.it
Italy,Robert Guillard,Robert Guillard,Station,Open,Seasonal,Robert Guillard,-66.687608,139.90717,20,,The Station is operated jointly by France and Italy. It is the starting point of the ground traverses for transport of cargo and fuel to the Concordia Station (on the Antarctic plateau).,1994,,No medical facilities on site  but 1 hospital and 1 physician at Dumont d'Urville Station  5 km away  with helicopter support.,November,February,
Italy,Talos Dome,Talos Dome,Camp,Open,Seasonal,Talos Dome,-72.83,159.200278,,,Discontinuously visited and maintained during recent years.    Skiway is not regurarly maintained.,0,,,October,December,
Italy,Browning Pass,Browning Pass,Airfield Camp,Open,Seasonal,Browning Pass,-74.622906,163.915171,,,,1997,,,---,---,
Italy,Enigma Lake,Enigma Lake,Airfield Camp,Open,Seasonal,Enigma Lake,-74.719164,164.027711,,,,2005,,,---,---,
Italy,Mid Point,Mid Point,Airfield Camp,Open,Seasonal,Mid Point,-75.541667,145.820278,,,Discontinuously visited and maintained during recent years.    Skiway is not regurarly maintained.,1988,,,October,December,
Italy,Sitry Point,Sitry Point,Airfield Camp,Open,Seasonal,Sitry Point,-71.651738,148.654737,,,,2000,,,---,---,
Japan,Asuka,Asuka Station,Station,Temporarily Closed,Seasonal,Asuka,-71.526273,24.112516,8,,Located in Sør-Rondane Mountains region  980.3m elevation  established in March 26  1985,1985,N.A.,None,November,February,
Japan,Dome Fuji,Dome Fuji Station,Station,Temporarily Closed,Seasonal,Dome Fuji,-77.317075,39.69877,14,,Located on the top of Dronning Maud Land  3 810m elevation  established in January 29  1995,1995,There are 9 buildings below snow surface. 8 people can be accommodated for wintering.,None,November,February,
Japan,Mizuho,Mizuho Station,Station,Temporarily Closed,Seasonal,Mizuho,-77.317075,39.69877,8,,Located in Dronning Maud Land  2 244m elevation  established in July 21  1970,1970,N.A.,None,November,February,
Japan,Syowa,Syowa Station,Station,Open,Year-Round,Syowa,-69.004122,39.581836,130,,Region : Higashi-Ongul To  Lützow-Holmbukta / Elevation : 28.9m,1957,There are 2 buildings for over-wintering expeditioners and each building has 21 beds. For summer expeditioners  there are 2 buildings. One has 48 beds and cafeteria for 60 people and the other has 40 beds.,Minimum required surgical operation facilities and dental emergency ,December,February,
Japan,Langhovde Fukuro Ura Refuge,,Refuge,Open,Seasonal,Fukuro-ura,0,0,6,6,,1995,,None,November,February,
Japan,Langhovde Yukidori Zawa Hut,,Refuge,Open,Seasonal,Yukidori Zawa,-69.243611,39.715,4,4,,1986,,None,November,February,
Japan,Skallen Refuge,,Refuge,Open,Seasonal,Skallen,-69.673611,39.400556,2,2,,2004,,None,November,February,
Japan,Skarvsnes Kizahashi Hama Hut,,Refuge,Open,Seasonal,Kizahasi Hama,-69.466666,39.6,6,6,,2004,,None,November,February,
Japan,Dome Fuji II Camp,,Camp,Open,Seasonal,Dome Fuji II Camp,-77.361111,39.643889,,,,2022,,None,November,February,
Japan,S17 Camp,S17 Camp,Camp,Open,Seasonal,S17 Camp,-69.028076,40.092449,,,Established in 2005,,,None,November,February,
Korea (ROK),Jang Bogo,Jang Bogo,Station,Open,Year-Round,Jang Bogo,-74.623056,164.2,80,80,- Sea transportation: 1 Zodiac (Rubber boat)  1 Barge    - Land transportation: 1 Snow groomer  1 Skidoo    - Workshop Facilities: Mechanical  Metal workshop  Wood workshop    - Communications: Computer  E-mail  Satellite phone  Telephone  VHF,2014,Eighty (80) beds are available during the summer season.,- Medical facility area: 71㎡    - Staff with basic medical training or doctor (Summer/Winter): 1    - Capability: Basic    - Equipment: Diagnostic X-ray  Hyperbaric Decompression Chamber  Telemedicine System  Automatic External Defibrillator (AED)  Implanted Cardioverter Defibrillator  Dry-chemistry Analyzer  Electrocardiogram  Urine Analyzer  Ultrasound  Centrifuge  Laparotomy device    - Medical research capabilities: No    - Medical screening requirements: Yes,October,March,https://www.kopri.re.kr/eng/
Korea (ROK),King Sejong,King Sejong,Station,Open,Year-Round,King Sejong,-62.2275,-58.788611,78,78,- Sea transportation: 4 Zodiac (Rubber boat)  2 Small boat     - Land transportation: 3 Snowmobiles  1 Snow truck  2 Trucks    - Workshop Facilities: Metal workshop  Wood workshop    - Communications: Computer  E-mail  Fax  Printer  Satellite phone  Scanner,1988,Seventy-eight (78) beds are available during the summer season.,- Medical facility area:  70㎡    - Staff with basic medical training or doctor (Summer/Winter): 1    - Capability: Basic     - Equipment: Diagnostic X-ray Device  Hyperbaric Decompression Chamber  Telemedicine System  Automatic External Defibrillator (AED)  Implanted Cardioverter Defibrillator  Dry-chemistry Analyzer  Electrocardiogram Device  Urine Analyzer  Ultrasound    - Medical research capabilities: No    - Medical screening requirements: Yes,December,February,https://www.kopri.re.kr/eng/
Netherlands,Dirck Gerritsz Laboratory,Dirck Gerritsz Laboratory,Laboratory,Open,Seasonal,Dirck Gerritsz Laboratory,-67.568636,-68.124377,,,,2012,,,---,---,
New Zealand,Scott Base,Scott Base Station,Station,Open,Year-Round,Scott Base,-77.849167,166.767222,85,86,,1957,Yes. Base personal  Science personal,Scott Base has a first aid facility. Advanced medical care is available at McMurdo Station (United States Antarctic Program).    Limited to basic first aid equipment and care facilities as the USAP support higher medical care for Antarctica New Zealand personnel if required.,October,December,www.antarcticanz.govt.nz
New Zealand,Cape Royds Hut,,Refuge,Open,Year-Round,Cape Royds,-77.543333,166.143611,,2,,,,,October,December,
New Zealand,Lower Wright Hut,,Refuge,Open,Year-Round,Wright Valley,-77.516666,161.833333,,2,NOTE: this hut's position is incorrect on both USCS 1:250 000 and 1:50 000 maps.    It is located on the south side of Wright Valley  approximately 1 mile west of Wright Lower Glacier.,,,,October,December,
New Zealand,Bratina Island Hut,,Camp,Open,Year-Round,Bratina Island,-78.016666,165.533333,,6,Near the northern tip of Brown Peninsula.    3 very small huts accommodate 6 persons max,,,None,October,December,
New Zealand,Cape Adare Hut,,Camp,Open,Year-Round,Cape Adare,-71.310556,170.194167,,,,,Small wooden/canvas tents (accommodation) and water tanks (storage).,N/A,October,December,
New Zealand,Cape Bird Hut,,Camp,Open,Year-Round,Cape Bird,-77.218333,166.436111,,8,,,,,October,December,
New Zealand,Cape Evans Hut,,Camp,Open,Year-Round,Cape Evans,-77.638333,166.406944,,4,Cape Evans is on the west coast of Ross Island at the northern entrance to Erebus Bay.    Accommodation capacity is for 4 people in 2 small huts.,,,,October,December,
New Zealand,Cape Roberts Hut,,Camp,Open,Year-Round,Cape Roberts,-77.033333,163.2,,4,Situated on promontory on south east edge of Granite Harbour,,,,October,December,
New Zealand,Lake Vanda Hut/Facilities Zone,,Camp,Open,Year-Round,Wright Valley,-77.516666,161.833333,,8,Wright Valley  near the mouth of the Onyx River,,,,October,December,
Norway,Troll Station,Troll Forskningsstasjon,Station,Open,Year-Round,Troll Station,-72.011667,2.533056,60,,Located at Grjotlia  Jutulsessen  Dronning Maud Land (72° 00.7'S  2°32.3'E) at 1275 m elevation. Established in January 1990  opened as all-year station in February 2005. Closed during 2006 austral winter season  opened again for permanent occupation October 2006. ,1990,Accommodates 24-40 persons in summer season  6 during winter. Food in excess of normal requirements. Jet A-1 fuel  polar diesel  gasoline  a variety of field equipment.,Simple hospital facilities. 1 doctor.,October,December,
Norway,Tor,Tor,Refuge,Open,Seasonal,Tor,-71.889444,5.159722,6,4,Located at Svarthamaren  Dronning Maud Land (71°53.2'S  5°09.3'E) at 1625 m elevation. Established in January 1985/January 1993. Last examined in 2011-12 season.    Expected available fuel when unoccupied:    Presently only small amounts of Jet A-1 for heating/cooking    Expected available food when unoccupied:    Limited    Available equipment:    A variety of field equipment for 4 persons is available        ,1993,,None,December,February,
Peru,Machu Picchu,Machu Picchu Station,Station,Open,Seasonal,Machu Picchu,-62.091593,-58.470559,35,35,Power House module  emergencies module and Lab module,1989,Living module and dinner room/Kitchen ,Phisycian surgeon during the expedition General medicine  first aid y minor surgeries ,December,February,
Poland,Dobrowolski Station,A.B. Dobrowolski Polish Antarctic Station,Station,Open,Seasonal,Bunger Oasis,-66.266667,100.733333,6,4,Dobrowolski's station is located in the Bunger Oasis (Bunger Hills) of Wilkes Land in East Antarctica on the shore of Algae Lake  about 90 km south of the edge of Shackleton's glacier shelf. It is an ice-free archipelago of saltwater and freshwater lakes that probably connect to the Southern Ocean beneath the Shackleton Glacier. Strong katabatic winds are generally easterly. The station consists of four buildings (two residential  two research) and an old meteorological observatory located about 100 meters north of the main buildings.    Two Historic Sites and Monuments:    HSM 49: Bunger Hill Pillar    HSM 10: Soviet Oasis Station Observatory,1957,Two main buildings with four beds. One kitchen. Incineration toilet. Workshop.,Comprehensive field medical kit available during summer occupation for emergency use,November,February,
Poland,Henryk Arctowski,Henryk Arctowski Polish Antarctic Station,Station,Open,Year-Round,Henryk Arctowski,-62.159773,-58.473322,35,,“Arctowski” Station is located on a flat marine gravel terrace 6 m asl and ca 500 meters east of Point Thomas on the western shore of Admiralty Bay on King George Island. The area around the station is ice-free. The station consists of several buildings (living quarters  laboratories  warehouses  power plant  Tourist Information Centre  lighthouse). Fuel tanks (projected for 150 sqm) and the old main fuel tank (in renovation) are situated ca 700 m from the main building. The station is located within the Antarctic Specially Management Area No.1.,1977,winter - main building with 14 one-bed rooms  summer – main building + four summer huts (up to 35 persons capacity). summer – main building + four summer huts (up to 35 persons capacity),paramedic  basic medical facilities usually available,---,---,
Poland,Demay,,Refuge,Open,Year-Round,Paradise Cove,-62.216666,-58.441666,,4,The refuge (wood hut) is situated on a flat marine gravel terrace in Paradise Cove between Demay Point and Uchatka Point  ca 10 km from Arctowski Station. The refuge can be reached both by Zodiac and by foot. It is located within the Antarctic Specially Protected Area No 128.,,,field medical kit available during summer for emergency use,---,---,
Poland,Lions Rump,,Refuge,Open,Year-Round,ASPA No 151 Lions Rump; King George Island; South Shetland Islands,0,0,,4,The refuge (wood hut) is situated on a flat marine gravel terrace on the western shore of King George Bay near Lions Rump (ca 35 km from Arctowski Station). The refuge can be reached only by Zodiac. It is located near the boundry of the Antarctic Specially Protected Area No 151.,,,field medical kit available during summer for emergency use,October,December,
Romania,Law Racovita,,Station,No Longer Exists,Seasonal,Law,-69.388296,76.380696,13,,,,,,October,December,
Russian Federation,Bellingshausen,Bellingshausen,Station,Open,Year-Round,Bellingshausen,-62.198184,-58.960609,31,40,Winter season starts 27 February 2022    ,1968,8 living buildings,One physician (surgeon)  fully equipped hospital.    Anaesthesia   Telemedicine   oxygen concentrator and artificial ventilation device. There is necessary supply of medicines and medical supplies. The medical staff at the station is represented by a surgeon and anesthesiologist-resuscitator who have experience in treating patients with COVID-19.    ,October,December,http://www.aari.aq/stations/bell/bell_en.html     http://www.raexp.ru/russia-bel.html
Russian Federation,Bunger Oasis,Bunger Oasis,Station,Temporarily Closed,Seasonal,Bunger Oasis,-66.266667,100.733333,10,15,Serves as a base for geological and geophysical studies of the south-west part of Bunger Hills.,0,Five huts,None,December,March,–
Russian Federation,Druzhnaya IV,Druzhnaya IV,Station,Temporarily Closed,Seasonal,Druzhnaya IV,-69.747778,73.709167,34,50,–,1987,,None    ,December,April,
Russian Federation,Leningradskaya,Leningradskaya,Station,Temporarily Closed,Seasonal,Leningradskaya,-69.501496,159.391148,15,,–,1971,,–,January,January,http://www.aari.aq/stations/leningrad/leningrad_en.html
Russian Federation,Mirny,Mirny,Station,Open,Year-Round,Mirny,-66.553056,93.009444,45,50,Winter season starts 27 March 2022.    ,1956,3 two-storied module buildings,Two physicians (surgeon and anesthetist)  fully equipped hospital.    Anaesthesia   Telemedicine,October,December,http://www.aari.aq/stations/mir/mir_en.html   http://www.raexp.ru/russia-mirn.html
Russian Federation,Molodezhnaya,Molodezhnaya,Station,Temporarily Closed,Seasonal,Molodezhnaya,-67.665278,45.841944,100,15,–,1963,,None,December,April,http://www.aari.aq/stations/mol/mol_en.html
Russian Federation,Novolazarevskaya,Novolazarevskaya,Station,Open,Year-Round,Novolazarevskaya,-70.775556,11.831944,51,70,Winter starts on 20 April 2022,1961,5 panel buildings,Two physicians (surgeon and anesthetist)  fully equipped hospital.     Anaesthesia   Telemedicine   Novolazarevskaya station is equipped with oxygen concentrator and artificial ventilation device. There is necessary supply of medicines and medical supplies. The medical staff at the station is represented by a surgeon and anesthesiologist-resuscitator who have experience in treating patients with COVID-19. It is planned to purchase COVID PCR analyzer for Novo station.,October,December,http://www.aari.aq/stations/lazarev/lazarev_en.html   http://www.raexp.ru/russia-Novolazarevskaj.html
Russian Federation,Progress,Progress,Station,Open,Year-Round,Progress,-69.377778,76.388056,51,50,Winter starts on 02 April 2022,1989,One-storied living buildings  new living/laboratory building providing accommodation for 30 people,Two physicians (surgeon and anesthetist)  fully equipped hospital.    Anaesthesia   Diagnostic Ultrasound   Diagnostic X-Ray   Endoscopy   Laboratory Diagnostics   Telemedicine,October,December,http://www.aari.aq/stations/progress/progress_en.html   
Russian Federation,Progress 3,Progress 3,Station,Temporarily Closed,Seasonal,Progress 3,-69.412222,76.403333,,,,0,,,October,December,
Russian Federation,Russkaya,Russkaya,Station,Temporarily Closed,Seasonal,Russkaya,-74.765556,-136.8,15,10,–,1980,,None,February,February,http://www.aari.aq/stations/russkaya/russkaya_en.html
Russian Federation,Soyuz,Soyuz,Station,Temporarily Closed,Seasonal,Soyuz,-70.65,68.8,20,,–,1982,,–,December,March,http://www.aari.aq/stations/soyuz/soyuz_en.html
Russian Federation,Vostok,Vostok,Station,Open,Year-Round,Vostok,-78.464167,106.836667,33,30,Winter season starts February 2022 after last traverse leaves. Decenber 2021 to February 2021 inland traverses scheduled from Progress to Vostok.,1957,3 living buildings,Two physicians (surgeon and anesthetist)  fully equipped hospital.    Anaesthesia   Telemedicine   One oxygen concentrator  one ventilator,October,December,http://www.aari.aq/stations/vostok/vostok_en.html http://www.raexp.ru/russia-vostok.html
South Africa,SANAE IV,SANAE IV,Station,Open,Year-Round,SANAE IV,-71.673611,-2.828611,80,80,South-African research station opened 1997. Original SANAE Station opened 1962. SANAE IV opened 1997 at a new location  200km South of SANAE I to III.,1997,Accomodation for 80 people.,Medical facilities include a Doctor  Surgery  3 bed hospital and dental facilities.,October,December,www.sanap.ac.za
