站点名称,更新周数,更新时间,起始时间,结束时间,温度(℃),湿度(%),气压(mb),风向,风速(m/s),周温差(℃),周最低温(℃),周报URL
新奥尔松,2022年第50周,2022-12-17 17:40:00,2022-12-10,2022-12-16,-14.3,59.0,1002.9,东南,5.9,20.2,-19.7,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135506
泰山站,2022年第50周,2022-12-17 16:36:00,2022-12-10,2022-12-16,-20.3,74.0,704.0,北,8.0,9.7,-29.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135506
昆仑站,2022年第50周,2022-12-17 14:03:00,2022-12-10,2022-12-16,-32.8,63.0,579.0,东,2.8,17.0,-43.7,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135506
长城站,2022年第49周,2022-12-10 17:44:00,2022-12-03,2022-12-09,-2.5,76.0,986.6,东,5.0,5.8,-2.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135406
新奥尔松,2022年第49周,2022-12-10 17:40:00,2022-12-03,2022-12-09,-7.1,72.0,1027.9,东南,2.3,16.2,-15.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135406
中山站,2022年第49周,2022-12-10 17:35:00,2022-12-03,2022-12-09,0.9,66.0,963.5,东,21.8,13.1,-7.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135406
泰山站,2022年第49周,2022-12-10 15:23:00,2022-12-03,2022-12-09,-21.1,76.0,699.0,东,14.4,12.5,-31.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135406
昆仑站,2022年第49周,2022-12-10 15:22:00,2022-12-03,2022-12-09,-35.2,63.0,578.0,东,4.1,24.9,-42.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135406
长城站,2022年第48周,2022-12-03 17:45:00,2022-11-26,2022-12-02,0.5,80.0,967.2,西,6.5,4.5,-1.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135347
中山站,2022年第48周,2022-12-03 17:40:00,2022-11-26,2022-12-02,4.4,41.0,977.6,东,2.9,14.2,-9.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135347
新奥尔松,2022年第48周,2022-12-03 17:40:00,2022-11-26,2022-12-02,1.7,96.0,1014.3,西南,1.9,17.9,-10.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135347
昆仑站,2022年第48周,2022-12-03 14:45:00,2022-11-26,2022-12-02,-35.3,64.0,576.0,东北,6.0,11.4,-44.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135347
泰山站,2022年第48周,2022-12-03 14:17:00,2022-11-26,2022-12-02,-21.5,72.0,701.0,东,11.2,11.1,-32.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135347
长城站,2022年第47周,2022-11-26 17:43:00,2022-11-19,2022-11-25,0.2,87.0,976.8,西,10.8,4.2,-0.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135326
新奥尔松,2022年第47周,2022-11-26 17:40:00,2022-11-19,2022-11-25,-8.2,80.0,1017.1,东南,1.1,14.3,-10.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135326
中山站,2022年第47周,2022-11-26 17:35:00,2022-11-19,2022-11-25,-1.4,50.0,969.5,东北,1.0,11.0,-10.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135326
泰山站,2022年第47周,2022-11-26 14:11:00,2022-11-19,2022-11-25,-22.6,70.8,690.0,东北,7.5,13.0,-34.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135326
昆仑站,2022年第47周,2022-11-26 14:02:00,2022-11-19,2022-11-25,-33.6,63.0,562.0,西,1.8,19.3,-50.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135326
中山站,2022年第46周,2022-11-19 17:51:00,2022-11-12,2022-11-18,-3.5,76.0,983.7,东北,3.2,15.5,-15.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135306
长城站,2022年第46周,2022-11-19 17:40:00,2022-11-12,2022-11-18,1.7,97.0,978.2,西北,5.1,4.7,-0.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135306
新奥尔松,2022年第46周,2022-11-19 17:40:00,2022-11-12,2022-11-18,2.7,94.0,1010.8,西南,3.7,14.7,-9.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135306
昆仑站,2022年第46周,2022-11-19 15:00:00,2022-11-12,2022-11-18,-33.7,64.0,575.0,东北,0.0,31.8,-57.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135306
泰山站,2022年第46周,2022-11-19 14:57:00,2022-11-12,2022-11-18,-27.1,59.0,703.0,东北,12.2,14.0,-39.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135306
中山站,2022年第45周,2022-11-12 17:46:00,2022-11-05,2022-11-11,-9.7,66.0,984.8,西北,1.9,11.7,-15.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135286
长城站,2022年第45周,2022-11-12 17:40:00,2022-11-05,2022-11-11,0.5,95.0,993.3,西,8.2,2.6,-1.7,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135286
昆仑站,2022年第45周,2022-11-12 16:18:00,2022-11-05,2022-11-11,-46.3,58.0,562.0,南,0.0,28.9,-58.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135286
泰山站,2022年第45周,2022-11-12 16:17:00,2022-11-05,2022-11-11,-30.6,68.0,693.0,北,7.2,13.1,-41.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135286
新奥尔松,2022年第45周,2022-11-11 17:10:00,2022-11-04,2022-11-10,-5.0,77.0,1006.5,东南,3.4,12.1,-10.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135286
长城站,2022年第44周,2022-11-05 17:53:00,2022-10-29,2022-11-04,-0.6,83.0,997.3,西,8.8,7.7,-6.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135246
中山站,2022年第44周,2022-11-05 17:41:00,2022-10-29,2022-11-04,-3.2,35.0,968.5,北,1.0,8.7,-10.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135246
新奥尔松,2022年第44周,2022-11-05 17:20:00,2022-10-29,2022-11-04,-1.7,84.0,1003.8,西南,1.0,10.3,-6.7,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135246
昆仑站,2022年第44周,2022-11-05 16:02:00,2022-10-29,2022-11-04,-35.3,70.0,561.0,东,0.0,20.0,-55.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135246
泰山站,2022年第44周,2022-11-05 16:02:00,2022-10-29,2022-11-04,-29.4,66.0,687.0,东,8.5,13.1,-37.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135246
中山站,2022年第43周,2022-10-29 17:52:00,2022-10-22,2022-10-28,-2.3,61.0,983.9,东,10.8,16.6,-16.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135226
新奥尔松,2022年第43周,2022-10-29 17:40:00,2022-10-22,2022-10-28,-5.0,71.0,983.6,西北,4.5,13.2,-13.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135226
长城站,2022年第43周,2022-10-29 17:35:00,2022-10-22,2022-10-28,-5.4,96.0,972.7,南,0.8,7.6,-5.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135226
泰山站,2022年第43周,2022-10-29 15:51:00,2022-10-22,2022-10-28,-26.6,68.0,709.0,东,12.0,21.7,-43.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135226
昆仑站,2022年第43周,2022-10-29 15:48:00,2022-10-22,2022-10-28,-45.3,62.0,568.0,东,0.0,41.3,-61.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135226
中山站,2022年第42周,2022-10-22 17:42:00,2022-10-15,2022-10-21,-11.1,59.0,981.3,东,5.6,14.7,-16.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135206
新奥尔松,2022年第42周,2022-10-22 17:40:00,2022-10-15,2022-10-21,-7.3,62.0,1002.2,东南,4.7,9.5,-7.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135206
长城站,2022年第42周,2022-10-22 17:30:00,2022-10-15,2022-10-21,-3.7,62.0,972.0,西南,7.2,6.5,-4.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135206
昆仑站,2022年第42周,2022-10-22 16:44:00,2022-10-15,2022-10-21,-51.0,55.0,567.0,东南,0.0,27.5,-65.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135206
泰山站,2022年第42周,2022-10-22 16:42:00,2022-10-15,2022-10-21,-37.9,66.0,691.0,东,12.9,15.0,-43.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135206
长城站,2022年第41周,2022-10-15 17:53:00,2022-10-08,2022-10-14,-0.2,98.0,966.3,南,8.6,4.2,-3.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135146
中山站,2022年第41周,2022-10-15 17:37:00,2022-10-08,2022-10-14,-9.6,48.0,964.6,西南,2.2,21.6,-25.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135146
新奥尔松,2022年第41周,2022-10-15 17:20:00,2022-10-08,2022-10-14,-5.0,72.0,1011.1,东南,1.0,12.7,-7.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135146
泰山站,2022年第41周,2022-10-15 15:18:00,2022-10-08,2022-10-14,-33.8,69.0,690.0,东,13.1,19.7,-44.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135146
昆仑站,2022年第41周,2022-10-15 14:59:00,2022-10-08,2022-10-14,-59.0,49.0,565.0,西南,0.0,23.8,-65.7,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135146
长城站,2022年第41周,2022-10-15 17:53:00,2022-10-08,2022-10-14,-0.2,98.0,966.3,南,8.6,4.2,-3.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135146
中山站,2022年第41周,2022-10-15 17:37:00,2022-10-08,2022-10-14,-9.6,48.0,964.6,西南,2.2,21.6,-25.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135146
新奥尔松,2022年第41周,2022-10-15 17:20:00,2022-10-08,2022-10-14,-5.0,72.0,1011.1,东南,1.0,12.7,-7.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135146
泰山站,2022年第41周,2022-10-15 15:18:00,2022-10-08,2022-10-14,-33.8,69.0,690.0,东,13.1,19.7,-44.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135146
昆仑站,2022年第41周,2022-10-15 14:59:00,2022-10-08,2022-10-14,-59.0,49.0,565.0,西南,0.0,23.8,-65.7,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135146
中山站,2022年第40周,2022-10-08 17:56:00,2022-10-01,2022-10-07,-7.9,91.0,977.9,东北,9.6,11.1,-16.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135108
长城站,2022年第40周,2022-10-08 17:45:00,2022-10-01,2022-10-07,-2.5,82.0,975.7,西,5.2,4.9,-3.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135108
新奥尔松,2022年第40周,2022-10-08 17:40:00,2022-10-01,2022-10-07,4.8,67.0,978.9,西北,3.1,5.1,1.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135108
昆仑站,2022年第40周,2022-10-08 15:40:00,2022-10-01,2022-10-07,-42.1,62.0,564.0,东北,0.0,26.8,-68.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135108
泰山站,2022年第40周,2022-10-08 15:39:00,2022-10-01,2022-10-07,-25.5,79.0,694.0,北,13.6,21.5,-46.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135108
中山站,2022年第39周,2022-10-01 17:51:00,2022-09-24,2022-09-30,-11.5,74.0,985.4,东,2.4,18.0,-25.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135088
长城站,2022年第39周,2022-10-01 17:43:00,2022-09-24,2022-09-30,-0.9,94.0,983.9,西,9.4,8.9,-7.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135088
新奥尔松,2022年第39周,2022-10-01 17:10:00,2022-09-24,2022-09-30,2.3,99.0,1010.0,东南,0.5,5.9,2.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135088
泰山站,2022年第39周,2022-10-01 16:47:00,2022-09-24,2022-09-30,-34.5,70.0,698.0,东,9.7,11.1,-45.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135088
昆仑站,2022年第39周,2022-10-01 16:38:00,2022-09-24,2022-09-30,-49.9,57.0,564.0,北,0.0,20.4,-69.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135088
长城站,2022年第38周,2022-09-24 17:55:00,2022-09-17,2022-09-23,-0.5,98.0,989.2,西北,5.9,6.7,-4.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135030
新奥尔松,2022年第38周,2022-09-24 17:40:00,2022-09-17,2022-09-23,4.6,70.0,1000.1,南,4.1,8.8,-1.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135030
中山站,2022年第38周,2022-09-24 17:33:00,2022-09-17,2022-09-23,-14.3,81.0,974.4,东北,2.3,13.7,-23.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135030
泰山站,2022年第38周,2022-09-24 17:00:00,2022-09-17,2022-09-23,-40.4,66.0,691.0,东,11.6,13.0,-46.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135030
昆仑站,2022年第38周,2022-09-24 16:56:00,2022-09-17,2022-09-23,-64.4,46.0,565.0,东,0.0,20.7,-70.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135030
长城站,2022年第37周,2022-09-17 17:54:00,2022-09-10,2022-09-16,-1.2,99.0,978.4,西南,1.5,5.1,-4.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135027
中山站,2022年第37周,2022-09-17 17:47:00,2022-09-10,2022-09-16,-15.4,83.0,966.4,西北,2.3,8.4,-15.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135027
新奥尔松,2022年第37周,2022-09-17 17:40:00,2022-09-10,2022-09-16,-0.6,96.0,1022.2,西南,0.7,5.3,-1.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135027
昆仑站,2022年第37周,2022-09-17 14:10:00,2022-09-10,2022-09-16,-55.9,55.0,566.0,东北,0.0,18.2,-70.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135027
泰山站,2022年第37周,2022-09-17 13:45:00,2022-09-10,2022-09-16,-34.6,71.0,687.0,东,15.2,12.9,-47.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135027
长城站,2022年第36周,2022-09-10 17:49:00,2022-09-03,2022-09-09,-0.2,97.0,972.9,西,9.1,9.2,-9.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135006
新奥尔松,2022年第36周,2022-09-10 17:40:00,2022-09-03,2022-09-09,2.3,68.0,1006.5,北,6.8,7.6,0.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135006
中山站,2022年第36周,2022-09-10 17:37:00,2022-09-03,2022-09-09,-13.6,86.0,996.0,西南,3.5,20.8,-26.7,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135006
昆仑站,2022年第36周,2022-09-10 15:19:00,2022-09-03,2022-09-09,-66.5,44.0,567.0,西南,0.0,16.4,-76.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135006
泰山站,2022年第36周,2022-09-10 15:18:00,2022-09-03,2022-09-09,-41.7,66.0,703.0,东北,7.3,12.7,-54.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=135006
中山站,2022年第35周,2022-09-03 17:47:00,2022-08-27,2022-09-02,-10.3,88.0,936.3,东,13.9,29.6,-37.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134974
长城站,2022年第35周,2022-09-03 17:45:00,2022-08-27,2022-09-02,-3.6,81.0,983.2,西,9.6,7.4,-7.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134974
新奥尔松,2022年第35周,2022-09-03 17:40:00,2022-08-27,2022-09-02,5.6,100.0,1022.5,东,2.8,8.4,0.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134974
泰山站,2022年第35周,2022-09-02 07:09:00,2022-08-26,2022-09-01,-43.7,65.0,695.0,东,9.6,12.2,-52.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134974
昆仑站,2022年第35周,2022-09-02 06:50:00,2022-08-26,2022-09-01,-72.6,42.0,560.0,东,0.0,9.7,-74.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134974
长城站,2022年第34周,2022-08-27 17:59:00,2022-08-20,2022-08-26,-6.9,78.0,984.7,东南,4.0,7.6,-7.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134971
新奥尔松,2022年第34周,2022-08-27 17:40:00,2022-08-20,2022-08-26,3.4,72.0,1014.9,东南,2.8,6.7,0.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134971
中山站,2022年第34周,2022-08-27 17:32:00,2022-08-20,2022-08-26,-16.1,66.0,972.3,东,15.6,21.3,-29.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134971
泰山站,2022年第34周,2022-08-27 16:36:00,2022-08-20,2022-08-26,-52.7,60.0,695.0,东,9.5,19.7,-54.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134971
昆仑站,2022年第34周,2022-08-27 14:18:00,2022-08-20,2022-08-26,-72.4,46.0,,东,0.0,17.0,-76.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134971
长城站,2022年第33周,2022-08-20 17:55:00,2022-08-13,2022-08-19,-3.2,95.0,997.9,西,5.6,10.4,-10.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134969
中山站,2022年第33周,2022-08-20 17:42:00,2022-08-13,2022-08-19,-27.0,43.0,990.1,东,2.6,23.8,-28.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134969
新奥尔松,2022年第33周,2022-08-20 17:40:00,2022-08-13,2022-08-19,3.3,88.0,1008.8,西,5.5,6.3,1.7,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134969
泰山站,2022年第33周,2022-08-20 15:54:00,2022-08-13,2022-08-19,-51.8,60.0,687.0,东,10.4,21.2,-53.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134969
昆仑站,2022年第33周,2022-08-20 13:04:00,2022-08-13,2022-08-19,-68.2,51.0,559.0,东,0.0,18.8,-71.7,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134969
中山站,2022年第32周,2022-08-13 17:52:00,2022-08-06,2022-08-12,-18.0,59.0,1004.4,东南,3.0,12.8,-22.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134927
长城站,2022年第32周,2022-08-13 17:44:00,2022-08-06,2022-08-12,-3.3,97.0,991.1,东南,1.9,4.1,-4.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134927
新奥尔松,2022年第32周,2022-08-13 17:40:00,2022-08-06,2022-08-12,4.2,89.0,1005.8,西北,1.8,5.9,3.7,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134927
泰山站,2022年第32周,2022-08-13 16:27:00,2022-08-06,2022-08-12,-45.3,65.0,709.0,东,9.5,14.6,-50.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134927
昆仑站,2022年第32周,2022-08-13 14:28:00,2022-08-06,2022-08-12,-53.3,56.0,575.0,西北,0.0,20.8,-72.7,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134927
长城站,2022年第31周,2022-08-06 17:55:00,2022-07-30,2022-08-05,-2.9,82.0,1011.6,西,12.4,10.7,-10.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134907
中山站,2022年第31周,2022-08-06 17:47:00,2022-07-30,2022-08-05,-10.7,47.0,992.9,东南,6.9,12.9,-12.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134907
新奥尔松,2022年第31周,2022-08-06 17:40:00,2022-07-30,2022-08-05,7.8,92.0,1002.2,东,1.3,5.3,5.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134907
昆仑站,2022年第31周,2022-08-06 15:52:00,2022-07-30,2022-08-05,-51.2,56.0,571.0,西北,0.0,31.3,-72.7,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134907
泰山站,2022年第31周,2022-08-06 15:44:00,2022-07-30,2022-08-05,-35.0,73.0,705.0,东北,9.9,24.7,-44.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134907
中山站,2022年第30周,2022-07-30 17:57:00,2022-07-23,2022-07-29,-7.7,48.0,995.0,东南,18.6,18.2,-21.7,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134866
长城站,2022年第30周,2022-07-30 17:54:00,2022-07-23,2022-07-29,-7.0,96.0,964.5,东,8.1,10.2,-10.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134866
新奥尔松,2022年第30周,2022-07-30 17:20:00,2022-07-23,2022-07-29,6.9,100.0,1011.4,东,3.2,5.8,3.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134866
泰山站,2022年第30周,2022-07-30 14:39:00,2022-07-23,2022-07-29,-44.6,65.0,716.0,东,11.4,18.8,-48.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134866
昆仑站,2022年第30周,2022-07-30 14:33:00,2022-07-23,2022-07-29,-54.0,55.0,585.0,东北,0.0,20.5,-68.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134866
长城站,2022年第29周,2022-07-23 17:45:00,2022-07-16,2022-07-22,-9.3,90.0,989.6,南,0.8,12.4,-12.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134852
中山站,2022年第29周,2022-07-23 17:42:00,2022-07-16,2022-07-22,-13.2,58.0,983.0,东南,10.2,23.0,-28.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134852
新奥尔松,2022年第29周,2022-07-23 17:20:00,2022-07-16,2022-07-22,8.0,83.0,1007.3,东,1.3,8.5,5.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134852
泰山站,2022年第29周,2022-07-23 16:33:00,2022-07-16,2022-07-22,-45.3,65.0,697.0,东,13.7,26.6,-54.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134852
昆仑站,2022年第29周,2022-07-23 16:31:00,2022-07-16,2022-07-22,-59.8,51.0,568.0,东,0.0,21.4,-74.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134852
长城站,2022年第28周,2022-07-16 17:45:00,2022-07-09,2022-07-15,-0.7,87.0,1001.2,西北,13.0,2.9,-3.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134849
中山站,2022年第28周,2022-07-16 16:02:00,2022-07-09,2022-07-15,-5.2,93.0,965.8,东北,18.7,21.1,-26.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134849
泰山站,2022年第28周,2022-07-16 15:15:00,2022-07-09,2022-07-15,-27.1,79.0,696.0,东北,13.8,22.7,-49.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134849
昆仑站,2022年第28周,2022-07-16 15:09:00,2022-07-09,2022-07-15,-49.7,57.0,563.0,东,0.0,26.5,-76.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134849
新奥尔松,2022年第28周,2022-07-15 16:50:00,2022-07-08,2022-07-14,10.9,71.0,1004.7,东,2.9,7.5,4.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134849
长城站,2022年第28周,2022-07-16 17:45:00,2022-07-09,2022-07-15,-0.7,87.0,1001.2,西北,13.0,2.9,-3.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134849
中山站,2022年第28周,2022-07-16 16:02:00,2022-07-09,2022-07-15,-5.2,93.0,965.8,东北,18.7,21.1,-26.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134849
泰山站,2022年第28周,2022-07-16 15:15:00,2022-07-09,2022-07-15,-27.1,79.0,696.0,东北,13.8,22.7,-49.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134849
昆仑站,2022年第28周,2022-07-16 15:09:00,2022-07-09,2022-07-15,-49.7,57.0,563.0,东,0.0,26.5,-76.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134849
新奥尔松,2022年第28周,2022-07-15 16:50:00,2022-07-08,2022-07-14,10.9,71.0,1004.7,东,2.9,7.5,4.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134849
中山站,2022年第27周,2022-07-09 17:58:00,2022-07-02,2022-07-08,-17.7,42.0,980.0,东北,0.7,16.6,-24.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134829
新奥尔松,2022年第27周,2022-07-09 17:40:00,2022-07-02,2022-07-08,6.7,68.0,1011.1,西北,4.7,6.4,2.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134829
泰山站,2022年第27周,2022-07-09 16:03:00,2022-07-02,2022-07-08,-50.1,62.0,697.0,东南,9.4,14.9,-50.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134829
昆仑站,2022年第27周,2022-07-09 16:00:00,2022-07-02,2022-07-08,-59.8,51.0,562.0,西,0.0,15.5,-71.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134829
长城站,2022年第27周,2022-07-04 21:20:00,2022-06-27,2022-07-03,-0.2,99.0,998.7,西北,11.8,12.7,-13.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134829
中山站,2022年第26周,2022-07-02 17:58:00,2022-06-25,2022-07-01,-24.3,43.0,991.3,东,6.3,17.4,-24.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134827
长城站,2022年第26周,2022-07-02 17:50:00,2022-06-25,2022-07-01,-9.9,91.0,1003.2,东,8.9,9.9,-10.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134827
昆仑站,2022年第26周,2022-07-02 15:20:00,2022-06-25,2022-07-01,-66.1,45.0,564.0,北,0.0,15.0,-72.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134827
泰山站,2022年第26周,2022-07-02 13:15:00,2022-06-25,2022-07-01,-47.2,63.0,692.0,东,12.6,9.7,-49.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134827
新奥尔松,2022年第26周,2022-07-01 05:10:00,2022-06-24,2022-06-30,8.0,85.0,1014.4,东南,0.9,6.9,4.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134827
长城站,2022年第25周,2022-06-25 17:50:00,2022-06-18,2022-06-24,-1.6,97.0,992.8,西南,6.6,12.3,-13.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134808
中山站,2022年第25周,2022-06-25 17:43:00,2022-06-18,2022-06-24,-18.1,78.0,977.7,西北,1.8,13.8,-22.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=134808
